gene_symbol,read_count_CGctx1,read_count_CGctx2,read_count_CGctx3,read_count_CGhp1,read_count_CGhp2,read_count_CGhp3,read_count_PGctx1,read_count_PGctx2,read_count_PGctx3,read_count_PGhp1,read_count_PGhp2,read_count_PGhp3
Nrxn1,1601.57,1639.41,1551.72,1796.24,1671.38,1631.24,1666.1,1793.26,1665.09,1814.4,1669.48,1603.5
Nrxn3,376.94,430.3,371.11,349.75,373.98,365.64,392.2,402.08,406.97,355.98,344.32,336.86
Gphn,2619.56,2618.79,2504.77,2463.43,2506.34,2343.77,2474.1,2410.57,2536.59,2451.37,2474.99,2593.76
Ctsa,1934.89,1909.07,2066.92,1755.68,1746.79,1732.39,1897.43,1949.75,1966.73,1509.12,1651.82,1709.49
Creb3,659.47,633.99,672.27,652.66,650.06,592.68,637.02,681.18,677.42,596.11,645.63,676.82
Gm20765,0,0.14,0,0,0,0,0,0,0,0,0,0
Chst8,1,1,1,3,3,5,1,1.6,2,7,2,3
Btnl2,0,1,0,0,0,0,0,0,0.81,0,0,1
Bend7,219.78,202.96,205.95,206.76,224,249.64,238.87,239.12,229.95,207.95,200.73,201.98
Jrk,390.83,373.98,403.14,332.01,329.75,379,366.83,334.95,361.11,373.92,417.97,369.97
Tnfrsf17,1,2,0,0,0,0,0,1,0,0,0,0
Atp6v0a1,3932.3,3888.01,4077.66,4038.47,4137.4,3973.02,3796.63,3722.59,3715.58,3944.84,3932.7,4053.86
Slc4a11,3.99,7,6,7.99,4,2,7,6,8,6.59,6,8
Gm2956,31.45,47.95,44.26,31.75,48.68,38.47,69.56,50.99,89.99,77.97,58.43,38.27
Abcc8,1,2,2,8.02,9.96,7,3,0.99,1,3,6,6.98
Aldh3b3,0,0,0,0,2.04,2.35,0,0,0,1.4,2.99,0
Trp53i11,1596,1619.95,1811.75,1116.85,1146.94,1102.66,1390.11,1300.15,1402.37,1318.28,1290.81,1284.62
Lrrc4c,852.58,840.97,767.65,869.71,918.06,887.96,1116.95,1076.81,1130.19,1032.47,999.73,1075.69
Tnfaip6,347.31,370.93,352.32,350.38,419.01,409.62,286.81,280.69,284.6,355.49,339.16,389.81
Cndp2,1833.82,1658.19,1860.79,1641.06,1751.69,1647.19,1703.85,1647.99,1683.81,1721.93,1909.67,1781.41
Ctnna1,2582.21,2604.48,2460.57,2458.7,2460.71,2599.76,2661.18,2554.97,2581.45,2467.77,2337.15,2344.41
Cbx8,237.75,263.03,280.99,221.98,203.99,201.97,333.85,284.44,351.36,247.89,222.56,245.7
Naf1,800.59,819.6,675.99,841.33,874.48,854.21,732.91,702.41,693.96,813.72,694.36,718.92
Slc2a2,0,1,0.98,1,1,1,4,0,1,1,1,4
LOC115489115,6.96,1.44,2.72,1.38,1.36,2.76,1.37,0,0,0,2.67,1.36
Smad9,142.82,124.38,129.62,170.67,154.81,162.19,130.62,122.44,123.26,150.84,144.48,132.42
Ncf4,24.99,36,18.98,18.95,20.99,19.96,22.57,23,20,9,18.72,4
Tacc3,3926.71,4020.93,3999.78,4087.95,4316.08,4040.84,3813.47,3828.97,3855.52,3933.09,3999.43,3995.04
Echdc1,1079.29,1054.07,875.57,1092.77,1139.36,1106.93,1017.56,1114.64,1106.77,1033.18,952.89,1025.42
Dtx3,1836.83,1896.52,2191,1905.26,1894.52,1884.93,2122.69,2102.56,2320.28,1898.1,2219.79,2116.06
Tas2r135,0,1,0,0,0,0,0,0,1,1,0,0
Ophn1,702.6,712.24,633.05,745.53,761,812.14,823.18,783.68,771.24,752.87,785.77,765.67
Treml2,4,2,0,2,0,0.97,0,1,0,3,1,1
Mroh8,5.62,12.08,6.6,3.73,2.19,1,5.75,5.97,7.76,4.61,5.99,2.63
Ldhb,2665.76,2698.14,3180.16,2151.67,2049.19,2069.23,3127.41,3045.51,3042.2,2269.7,2490.57,2535.97
Cnih1,2633.43,2667.64,2154.23,2695,2726.39,2683.87,2673.42,2558.87,2633.81,2558.44,2359.67,2432
Smurf2,1474.37,1441.94,1245.85,1413.12,1409.95,1315.6,1412.45,1510.21,1488.7,1429.9,1296.51,1326.3
Col15a1,9,6,2.03,3.98,3,6,15,14,14.98,3,4,1.92
LOC115488624,0,0,0,4.53,0,3.99,0,2.51,0,0,0,0.09
Vgll4,3041.44,3115.46,3352.88,2999.28,3086.85,2927.92,3331.19,3353.82,3372.63,2986.1,3064.95,3144.28
Cpped1,983.98,933.17,820.66,1023.27,963.92,913.43,1021.83,1046.73,940.66,1123.16,1006.4,1055.57
Tmem52b,1,0,0,0,1,0,0,1,1,0,0,0
Trim12a,27.3,29.36,19.2,21.29,30.23,20.37,23.3,27.42,26.32,27.88,8.85,18.23
LOC115487367,2712.61,2601.89,2440.7,2819.83,2953.18,2713.18,2620.01,2431.75,2511.57,2778.55,2681.8,2859.58
Cib2,358.85,352.48,379.63,346.33,329.76,303.79,380.79,351.7,368.59,320.5,376.81,364.41
Anp32e,13839.46,13453.45,12604.86,13384.34,13772.08,13518.72,12986.92,12981.32,12930.59,13203.69,12856.22,13102.69
Baz2a,2678.87,2776.62,2898.52,2864.19,2875.56,2887.27,2950.97,2891.25,2915.64,2713.48,2817.17,2680.32
Cfap410,179.97,174.59,171,227,175.78,156,209.94,195.99,206.77,154.98,219.12,186.98
Cggbp1,3627.76,3481.94,2961.12,3332.22,3393.73,3430.96,3279.78,3349.8,3492.91,3416.4,3086.8,3062.86
Luc7l3,3822.53,3755.66,3315.73,3692.48,3712.29,3706.61,3689.22,3597.55,3706.01,3682.43,3543.82,3381.74
Zscan21,1138.79,1160.26,1139.92,1037.17,1026.88,902.29,1187.22,1202.82,1127.21,1046.86,1155.59,1125.89
Imp4,662,662.84,742.75,671.97,710.03,741.99,636.99,637.84,640.53,726.4,704.89,707.81
Psmc6,3582.16,3554.84,3222.72,3538.56,3617.78,3420.24,3474.48,3387.04,3628.8,3445.85,3131.4,3526.12
Gm33099,0,1.99,0,1.2,1.13,0,0,0,1.01,1.54,0,0
Polr2g,1174.94,1173.99,1262.1,1154.32,1101.61,1149.9,1087.03,1091.86,1105.92,1191,1185.44,1217.98
Ddx59,322.01,293.62,310.93,313.98,305.38,319.09,308.96,357.91,321.61,299.73,338.96,354.9
Srms,6,1,2,3,1,6,7,4,2.95,4,5,6
Tigd5,113.98,133,155,118,115,115,108.99,119.1,126.59,127.52,119,108.81
Gm4606,0,0,0,0,0,1,0,0,0,0,0,0
Il31,1,0,0,0,0,0,0,0,0,0,0,0
Pdcd2l,371.97,446.98,409.88,407.99,411.99,385.72,355,368.33,416.31,385.33,425.98,466.33
Kif14,1197.6,1316.12,1263.6,1426.31,1358.11,1451.55,1309.99,1267.81,1379.37,1304.59,1277.94,1282.6
Slc35f5,606.85,598.39,571.99,601.8,645.15,571.82,567.6,623.23,621.58,591,633.93,580.87
Pip4p1,954.79,925.83,1012.65,988.07,951.49,941.57,941.89,854.63,890.93,1046.89,973.46,1064.34
Mta1,2515.42,2581.58,2769.58,2464.77,2513.61,2555.42,2468.54,2378.09,2340.39,2448.09,2525.17,2488.54
Hectd1,3567.43,3541.56,3427.45,3622.88,3663.13,3791.39,3564.07,3525.59,3678,3628.76,3758.88,3600.33
Fktn,1430.04,1381.51,1217.19,1498.17,1538.35,1571.24,1361.48,1477.96,1438.76,1554.55,1447.42,1415.01
Sec61a2,1434.17,1526.46,1403.73,1535.76,1429.35,1543.81,1597.97,1535.11,1542.35,1565.33,1462.29,1478.21
Phf12,1502.03,1526.42,1623.08,1481.73,1455.84,1546.61,1527.13,1545.75,1558.54,1458.47,1498.85,1505.18
Tslp,1,4,2,3,4,1,2,5,5,1,1,0
Mrps34,632.91,591.04,687.43,647.92,637.99,598.89,621.94,588.88,635.82,633.77,687.89,669
Tmem43,1447.69,1432.46,1469.47,1486.85,1466.7,1433.96,1392.1,1362.22,1374.4,1472.91,1573.9,1599.56
Tmem200b,0,5.22,2,2,1,2,0,1.05,1,1.05,0,1
Chl1,7807.6,7848.33,6902.02,8785.4,8796.92,9237.61,6085.6,6161.96,6266.71,9888.41,9209.59,9015.78
Mrpl11,918.59,941.33,930.31,917.32,924.43,910.46,997.31,983.57,941.55,929.13,954.64,941.07
Ufc1,1308.99,1271.64,1272.75,1342.96,1256.85,1248.41,1470.47,1399.15,1411.88,1309.95,1375.71,1334.86
Nlk,1826.82,1795.44,1464.81,1784.09,1812.61,1810.75,1771.75,1683.78,1712.55,1711.89,1588.23,1598.65
Mapkbp1,861.34,827.93,906.93,761.04,831.66,879.48,884.4,895.85,918.97,847.7,886.17,846.49
Kif28,1.01,2.44,0,2.02,0,2.47,3.01,3.02,0,0,0,5.25
Lpcat3,914.52,894.6,1004.44,912.94,883.09,866.64,959.72,986.24,987.75,899.88,984.2,957.63
Uevld,563.52,591.25,435.47,607.93,550.91,650.9,626.83,630.01,613.05,601.85,543.83,572.77
Tafa1,22.99,21.68,20.98,47.04,36.88,37.3,31.42,18.98,34.99,37.57,40.36,32.67
Cav1,154.92,130.99,131,161.99,179,162.97,137.05,136.88,132.99,172.41,198.74,196.96
Plet1,1.15,5.09,3.76,5.94,0,1,1.93,0.49,1.94,5.01,5.81,0
Ltv1,1115.78,999.43,1097.37,1103.93,1048.93,1061.71,1011.92,955.36,917.66,1066.82,1151.96,1099.94
Slc9b1,0,0,3.98,1,1,1,2.99,3,1.96,0,0,1
Grb2,2035.49,2171.4,2062.44,2161.95,2262.24,2127.26,2219.7,2250.62,2268.89,2135.45,2147.48,2061.5
Rab43,276.27,248.98,294.99,268.61,255.98,291.98,275,261.45,286,277.78,294.91,287.98
Zbtb8b,45.74,43.31,59.71,40.28,40.99,36.47,56.9,59.18,55.72,78.49,79.29,90.22
Prcp,477.92,496.87,423.86,409.37,420.95,400.99,423.99,408.84,391.38,388.9,384.46,361.9
Ubl7,643.07,586.99,660.95,612.09,611.3,638.95,692.98,662.96,598.77,621.15,672.93,688.99
Prmt7,1148.59,1127.89,1269.88,1094.24,1128.86,1155.53,1004.98,1033.94,1005.6,1127.44,1160.81,1207.61
Hnrnpl,9835.69,9772.78,10453.3,9867.69,9836.56,9794.96,9407.92,9395.88,9138.18,9725.22,10064.83,9705.06
B4galt3,1108.06,1016.48,1139.87,1050.73,1040.51,1023.76,1075.79,1005.73,1036.03,1045.93,1075.55,1048.99
Nob1,1243.6,1183.7,1341.87,1208.35,1138.9,1260.99,1098.99,1104.57,1059.76,1135.85,1264.83,1172.82
Pgm1,801.73,836.07,725.21,811.54,835.72,770.01,810.7,812.7,750.94,790.4,770.57,793.36
Mettl4,1172.82,1162.76,980.19,1073.67,1113.77,1109.72,1202.73,1148.78,1138.84,1149.31,1075.61,1092.98
Map3k19,1.55,0.67,3.42,14.22,1.49,3.55,0,10.4,3.41,6.01,8.06,3.46
Gm21319,3.87,2.67,7.23,4.81,6.55,6.87,4.19,5.62,6.96,4.1,4.13,9.34
Gckr,0,2,0,0,0,0,0,0,0,0,0,0
Btbd18,9.99,18,13,18,13,6,15,17,9.99,17.15,17,18
Fam228b,98.96,105.01,113.43,101.27,101.18,105.87,122.93,124.78,116.76,115.99,103.6,82
Psen2,227.01,192,243.79,196.97,209.98,186.24,242.55,243.98,190.42,162.99,163.99,182
Adcyap1,0,1,0,0,0,0,0,0,0,0,1,0
Pkp4,2156.41,2164.81,2155.3,2237.5,2209.5,2267.47,1940.64,1972.7,2040.7,2168.17,2199.43,2283.14
Gstp2,4.99,7.51,0,4.95,4.86,2.58,4.97,4.7,4.76,7.61,5.09,0
LOC665918,0,0,0,1.41,0.07,0,0,0,0,0,0,0
Pa2g4,6294.47,6287.48,6084,6151.26,6150.65,6054.88,5679.39,5519.29,5583.97,6053.92,6206.19,6207.15
Skint3,0,0,0,0,1,1,0,0,0,0,0.51,0
Lrrc34,2,5,0,1,2,3,0,2,2,1.98,1,0
Cfap77,0,0,0,0,0,0,0,0,1,0,1,1
Gm21292,1,0,0,0,0,0,0,0,0,0,0,0
Slc24a3,271.95,329.4,276.75,328.37,321,299.54,357.32,331.94,320.88,354.66,353,377.3
Synj2bp,736.15,683.16,598.21,719.02,668.06,717.13,702.37,750.4,766.74,721.64,650.03,648.68
Sgcz,18.87,14.38,25.94,22.59,26.83,22.99,23.82,14.82,13.98,24.92,23,21.59
Gm42355,14.6,13.67,15.55,11.84,10.17,10.48,12.55,17.49,15.91,9.2,14.7,13.81
Lig3,1528.66,1556.65,1615.14,1535.33,1535.67,1523.32,1528.11,1508.62,1515.63,1529.39,1544.95,1559.17
Plk5,2,1,0,1,0,1,1,1,0,1,5,2
Fopnl,1231.46,1166.66,1073.48,1206.17,1285.33,1223.25,1293.05,1339.8,1275.91,1234.98,1114.06,1136.98
Thap3,204.96,213.94,224.06,192.99,185.91,223,251.42,237,251.28,187.23,224,221.9
Bmp1,1191.33,1204.23,1377.98,1279.75,1265.33,1220.17,1281.87,1275.99,1331.66,1275.86,1386.42,1395.65
Apex1,2399.3,2327.29,2250.62,2307.72,2396.8,2151.47,2097.96,2174.67,2134.67,2245.14,2472.1,2379.15
Leo1,1192.78,1190.45,1219.61,1269.59,1175.4,1192.26,1206.95,1104.98,1126.4,1150.79,1167.92,1234.27
Gdpd2,20.14,20,23,22,17,13.99,18,28,30.98,27,26,22.99
Cpne7,18,6,11,12,10,10,7,7,9,7,7,9
Golm1,1285.02,1392.81,1207.71,1163.88,1214.98,1199.95,1199.76,1249.44,1208.82,1165.79,1258.05,1201.47
Tusc2,639,626,660.99,624.92,619.34,581.99,584.95,623.25,570.98,592.72,618.45,696.66
LOC115488611,92.51,79.91,81.09,78.48,78.63,97.82,89.08,91.1,102.5,89.64,72.76,86.92
LOC115487466,2,1,3,0,2,4,1,1,0,4,1,2
Zfp772,259.36,255.13,262.61,265.02,268.12,258.8,316.47,340.74,263.91,265.41,246.92,288.48
Nsl1,795.76,814.98,815.51,761.65,766.6,823.46,731.01,676.32,671.46,833.7,845.47,867.08
Vps37a,1306.74,1449,1168.9,1375.46,1391.85,1430.08,1478.75,1428.49,1499,1400.96,1261.38,1246.38
Unc80,608.07,594.84,555.82,622.87,624.54,628.37,631.33,649.65,688.29,627.03,631.85,603.94
Stk24,1825.74,1828.1,1691.84,1780.77,1909.56,1898.41,1713.48,1783.89,1780.54,1813.47,1774.92,1769.75
Eef1b2,7020.47,6869,7560.49,7056.77,6377.37,6472.86,7061.63,6993.99,6715.78,6598.16,6918.78,7217.34
Pramel6,0,1.03,0.13,0,1.51,0,2.1,1.4,0,0,0,0
Zcchc12,608.29,537.63,566.5,372.99,345.91,344.77,506.54,485.96,514.33,446.04,410.18,440.86
Nkapl,12.98,11,12,8,6,7,8,8.99,8,6,11,4
Smarcd1,3431.83,3404.88,3520.09,3506.85,3719.33,3533.8,3496.33,3511.27,3444.66,3687.4,3711.84,3803.42
Cript,979.59,931.95,848.61,970.58,959.4,918.43,968.27,970.32,946.67,923.87,981.98,1015.37
Mphosph9,1284.58,1218.63,1204.45,1335.46,1363.51,1317.94,1274.29,1319.83,1349.25,1209.53,1201.23,1273.73
Slc17a7,5,2,3,35.72,41.89,25,4,6,7,29,19,23
Rab22a,720.18,649.38,697.72,678.88,675,681.98,675.91,607.32,634.89,695.54,625.93,631.54
Col5a1,453.81,395.99,402.46,362,380.84,378.92,402.06,456.28,433.28,409.98,448.3,400
Bok,704.57,661,760.95,849.18,817.78,787.96,600.06,598.99,627.42,856.33,898.98,928.87
Nsd3,2421.65,2550.59,2358.3,2505.86,2448.03,2524.96,2653.06,2543.15,2570.69,2366.7,2364.58,2281.22
Atg7,1133,1099.39,927.36,999.05,1026.82,962.71,1106.5,1133.08,1089.43,1019.41,950.56,1006.96
Dmd,935.54,1000.64,932.09,912.73,891.93,1004.05,982.17,938.93,1052.42,975.06,826.74,882.92
Trim30d,18.32,17.44,9.43,13.65,2.07,8.23,9.41,7.39,5.89,0,4.15,1
Bricd5,71.04,43.07,74.03,32.01,67.89,18.97,56.85,64.8,53.21,54.89,37.86,27.76
Xpa,130,132.89,131.96,127.99,136.58,127.24,148.5,188.01,166.96,143.99,107.97,124.98
Wscd1,2941.89,2949.93,3280.37,3033.23,3190.9,3104.2,2972.97,2836.81,2771.11,3216.47,3397.78,3431.21
Spsb2,91,86,103.91,79.98,79.97,92.48,99,99.99,107,90.96,79,73.78
Gm36182,5.89,4.14,6.98,4.66,8.62,5.56,2.65,4.07,3.66,5.27,6.61,4.21
Phf3,3157.48,3200.64,3086.36,3324.12,3250.72,3396.18,3365.64,3337.27,3340.39,3137.45,3137.79,3030.92
Sprr2f,0,0,0,0,0,1,1,1,0,0,0,0
Zfp182,362.06,342.04,328.35,328.21,306.13,330.92,421.49,474.87,489.39,358.61,301.47,341.85
Trim34a,8,4.78,5,0,6,2,3,9,11,2,0,0
Cdkn2aip,624.95,596.99,495.48,561.59,552.48,594.2,601.08,561.86,577.85,523.74,554.61,561.93
LOC105245102,1.03,0,0,0,1.05,0,0,0,0,0,0,1.1
Zfp960,155.19,193.22,128.79,153.42,152.07,159.87,177.09,168.94,167.97,191.75,131.2,168.84
Fem1b,3822.79,3961.06,3694.68,3719.99,3581.03,3705.15,3782.48,3692.36,3828.45,3762.6,3627.56,3690.74
Pcdhga9,319.17,326.31,360.66,250.97,279.57,280.22,312.02,298.04,334.01,257.23,325.44,299.8
Tnfrsf9,0,0,0,0,1,0,0,0,0,1,1,0
Lrp12,795.07,785,747.25,866.84,885.01,818.03,802.73,897.56,845.41,726.96,721.97,762.68
Ccnf,2527.24,2517.78,2704.28,2539.92,2506.84,2446.94,2341.97,2352.84,2194.03,2541.41,2680.06,2749.59
4933405L10Rik,1,2,1,3,1,1,4,3,2,4,2,2
Tmem121b,133.82,120,145.98,118.33,124,110.97,157.99,126,132.96,149.98,119,155.98
Rdh9,14.72,24.38,17.35,16.74,17.07,23,24.62,25.43,15.93,16.4,20.06,13.88
Tgfbr2,141.99,123.7,99.98,52,50.99,68.99,101.67,96.9,97.6,23.96,30,25.99
Elovl5,5597.8,5585.52,5439.07,5776.82,6062.68,5872.36,5156.65,5194.12,5011.57,5516.04,5520.01,5468.88
Edn3,0,0,0,0,0,0,0,0,0,0,0,2
Gm20827,0,0,0,0,0.07,0,0,0,0,0,0,0
Mphosph8,1518,1564.92,1431.36,1673.29,1665.54,1623.63,1426.7,1489.62,1492.39,1618.37,1485.22,1565.71
Cab39l,936.08,871.73,805.28,850.37,878.91,882.19,916.69,937.94,946.13,927.29,875.98,845.08
Apobec1,136.88,133.67,111.71,96.63,88.85,94.51,129.87,118.12,137.95,29.36,33.15,27.29
Tiparp,1654.28,1568.23,1396.77,1466.31,1583.46,1608.93,1689.57,1650.42,1758.96,1624.31,1396.43,1414.8
Efcab6,2,0,2,0,3,1,0,0,1,0,1,2
Dpp3,1321.48,1264.2,1403.58,1235.24,1246.97,1250.74,1400.08,1315.89,1260.1,1303.57,1357.69,1376.98
Cldn34c2,4.35,0,6.65,6.05,20.36,2.76,4.37,0,15.72,21.85,12.03,33.28
Ddb1,11156.29,10949.05,11508.6,10731.95,11133.69,10741.99,11222,11416.28,10964.66,10835.38,11434.06,11296.27
9130019O22Rik,136.65,119.64,138.31,139.18,117.88,112.22,150.07,128.47,105.03,133.54,123.21,107.22
Tmem138,334.06,274.61,308.64,279.91,310.76,293.38,307.89,325.61,315.37,300.49,322.66,307.06
Wfs1,131.91,113.62,154,121.06,140.99,150,147.74,142.96,157.94,130.99,180.91,169.78
Cops3,2588.71,2527.03,2484.2,2619.89,2624.35,2559.03,2469.16,2521.91,2434.43,2498.64,2487.9,2617.23
Tex15,203.84,206.49,193.11,208.95,196.96,219.56,166.57,191.83,179.17,276.17,254.34,241.71
Gtf3c5,984.66,941.88,1133.61,1004.55,982.92,912.23,908.35,1002.84,923.18,979.72,1072.9,1031.32
Tiam2,236.66,249.43,64.38,95.87,69.69,51.58,81.83,96.44,78.59,78.8,70.56,59.86
Atp5e,1027.84,989.99,1299.89,1072.34,845.97,977.99,1028,1022.55,1018.79,1065.35,1001.99,1012.05
Tgfbi,9,14,6,15,7,5,5,11,6,14,23,13
Psmd13,3006.98,2941.87,3148.04,2834.52,2958.93,2886.97,2959.75,2852.52,2828.91,2990.65,3089.67,3010.79
Hus1b,1,1,0,0,3,0,0,2,0,0,1,1
Mrps5,1271.43,1282.76,1290.75,1315.43,1177.75,1292.95,1280.62,1292.65,1278.9,1311.19,1322.72,1366.63
Actbl2,4,0,5,8,1.77,3,3,2.99,2.99,2.94,2.99,1
Klf7,515.49,548.66,486.71,628.21,574.31,667.41,522.81,534.81,566.66,639,549.28,498.99
Frk,3,2,3,0,0,1.92,1,1,3,1,2,0
Zfp433,124.73,202.33,132.66,141.85,197.22,165.73,115.37,148.12,146.8,190.07,201.9,165.48
Stfa2,2,2.49,0,1,0,0,0,0,0,0,1,0
Mrps6,581.8,615.59,649.52,649.99,581.94,645.87,581.34,612.82,551.63,632.96,651.86,675.32
Gm14322,630.25,698.91,665.19,611.08,598.82,674.47,625.42,624.72,608.18,581.98,592.99,591.46
6330403K07Rik,99,117,52.56,62.8,88.99,59.97,78.98,83.97,77.97,88.99,83,82
B4galnt4,639.37,560.64,677.82,586.39,626.98,600.99,635.18,618.1,669.75,608.87,647.86,634.96
Col13a1,0,0,0,0,0,0,0,0,0,1,0,0
Gas6,1850.76,1962.71,2111.65,2135.06,2040.3,2023.42,1920.4,1783.73,1817.88,1995.89,2107.62,2041.84
Lypla1,1375.38,1301.83,1107.46,1418.94,1372.32,1420.04,1290.04,1395.1,1404.95,1376.76,1273.6,1280.92
Topors,1460.52,1421.97,1314.12,1219.15,1324.94,1317.77,1326.85,1334.6,1261.24,1268.75,1196.47,1327.87
Armcx5,206.94,262.4,208.92,266,232.18,219.92,254.54,260.06,240.75,226.25,204.45,229.47
Dnajc10,2877.02,2780.39,2666.16,2802.35,2828.23,2826.91,2728.1,2765.47,2614.84,2641.34,2530.32,2646.3
Myo1f,183.99,191.85,182.22,121.98,138.96,123,147.99,167.96,147.93,26,33,30.98
1110038F14Rik,535.9,520,573.17,509.2,470,499.33,532.06,574,600.99,497.4,559.08,575.27
Rhbdd3,230.89,240.29,291.23,236,234.05,246.19,235.05,236.99,225.98,230,297.65,255
Sfn,15.78,21,18.32,19,13,17,22,17,31,18,16,23
Mgat2,964.44,1050.98,858.39,1088.56,1012.72,1017.38,889.06,905.68,896.97,971.96,865.96,915.96
Nthl1,56,71,82,74,61,67,71,71.99,72.99,70,65.35,76
Snurf,1441.8,1452.81,1459.68,1410.43,1407.2,1325.17,1494.61,1497.09,1465.33,1441.29,1460.02,1532.06
Tubg1,2027.44,1975.48,2535.55,2078.68,2135.76,2043.05,2070.9,1914.74,1970.89,1967.4,2241.42,2328.73
Neurog1,0,0,1,1,1,1,0,0,1,0,0,0
Qser1,2550.97,2435.34,2171.48,2567.42,2468.12,2683.62,2390.86,2372.34,2449.84,2552.04,2315.84,2296.95
Mical2,47,57,63.99,52.99,41.86,48,49,49.99,67.99,44.9,47.9,32.99
Rorb,776.08,779.69,663.3,726.39,707.72,765.71,642.23,663.81,668.67,649.07,618.32,611.9
Tpi1,1399.11,1351.41,1381.97,1557.12,1583.72,1543.7,1241.91,1168.32,1158.95,1555.83,1713.31,1770.67
Snapin,725.14,671.39,603.23,702.87,713.82,684.83,875.95,880.55,862.39,777.29,662.37,707.63
Spata46,2,2,0,1,2,0,0,0,1,0,0,0
Gp5,2,5,5,4,3.01,5,3,7,2,5.98,2,3.79
Zfp418,83.59,112.94,90,77.99,82,57.98,92.99,99.99,98.99,92.91,96.99,80
Saxo2,19,16.03,14.99,11,18.99,8.99,24.92,26.55,19.93,11.98,17.94,7
Tsn,3731.08,3776.45,3344.08,3500.57,3649.23,3496.98,3490.05,3559.61,3584.8,3748.79,3563.56,3641.81
Mdm4,3828.11,3905.98,3592.15,3790.45,3706.65,3795.22,3837.36,3971.17,4002.46,3894.12,3785.36,3880.27
Ifi47,3,1,3,1,1,0,0,1,4,2.99,1,0
Apoh,2,0,2.98,4.12,5,2,1,3,2,4,2.99,3
Foxo6,48,46.97,31,32,25,38,27,36,23.96,41,39,47
Ilvbl,145.97,163,152,143.01,141,119.77,165.48,141,133.86,158.49,155.45,164.79
Cfap161,1,0,0,0,0.04,0,0,1,3,1,0.93,3.24
Gpr18,1,0,0,2.99,2,1,0,0,0,0,2,0.99
4833420G17Rik,777.61,818.14,706.89,727.75,789.69,746.28,960.76,891.38,881.09,706.07,771.54,720
Ccdc189,56.3,54.04,38.31,56.19,52.54,47.15,75.38,67.47,66.78,51.58,40.27,54.82
Piwil1,0,0,0,0,0,0,0.36,0,0,0.99,0,0
1700037C18Rik,38,30,25,33,31,38.99,31,26.99,36.04,22,41,30
Muc16,0,0,0,0,1,0,0,0,0,0,0,0
Serpine2,19242.12,18840.92,18834.21,18568.33,19077.89,18392.12,17430.02,17292.19,17204.78,19162.2,19434.97,19229.32
Gulp1,19.87,8.96,13.79,8.89,17,13.83,11,15.97,24,14.37,6.32,9.99
Slc5a5,12.93,13,17.93,10,10.09,14,8,11,10,15.98,10,13
Ascl1,2126.5,2044.16,2099.01,2013.05,1952.21,2084.91,2062.97,2019.92,2018.69,2059.89,2063.37,2076.86
Plp2,410.85,350.72,423.4,392.76,357.83,397.99,302.88,318.57,319.82,445.8,435.31,443.75
Dlx6,12,7.95,2,0,0,0,2,1,0,0,0,1
Sgk1,960.1,938.06,838.97,1185.6,1091.78,1090.16,1305.84,1362.11,1338.08,956.39,898.56,956.66
Gm4340,0,0.15,0,0,0,0,0,0,0,0,0,0
Gm3055,352.19,195.91,138.16,420.03,326.98,425.53,436.56,414.35,282.3,345.49,332.08,299.1
Gm20883,0,0,0,0.05,0,0,0,0,0,0,0,0
2610044O15Rik8,229.49,274.78,224.41,228.21,220.11,244.48,253.93,273.94,249.33,266.86,221.81,260.17
Macroh2a2,2849.7,2832.82,2883.98,2614.98,2752.42,2552.66,2784.71,2877.19,2890.07,2692.65,2821.54,2832.85
Mrpl38,688.28,738.21,787.94,754.89,742.08,705.98,701.83,715.55,714.54,720.52,761.72,748.88
Gja6,7,2,6,6,8,4,7.99,3.98,3.99,6,3,3.99
Ranbp1,4608.69,4485.87,4409.26,4578.34,4263.98,4227.67,3779.69,3805.31,3770.35,4319.77,4350.78,4364.27
Kbtbd3,97.82,118.53,84.72,114.53,118.97,111.94,151.87,153.98,128.95,126.99,106.34,101.98
Ecsit,575.95,510.99,590.98,520.99,511.94,560.72,538.8,507,500.17,585.54,589.45,595.99
Olfr544,0,3,0,1.78,2.88,0,1.79,4.83,1,0,1.25,2.43
Dppa2,0,1,1,0,1,0,2,2,1,0,0,1
Gpr137,601,594.6,597.08,549.57,563.08,573.97,501.53,557.95,558.93,543,640.77,653.97
LOC115487436,21.72,0,0,7.15,0,5.66,0,21.05,7.5,16.33,0,20.07
Coq9,708.69,770.6,789.57,690.16,665.43,658.46,780.71,760.57,777.94,667.62,639.1,744.55
Ecscr,14,8,1,3,1,0,2,4,2,0,3.95,3
AA986860,36,29,36.98,27,35,41.98,43,34.92,38,25,38.99,29
Adh5,2844.35,2928.38,3053.72,2740.07,2740.89,2731.67,2823.72,2846.17,2831,2830.96,3004.5,2950.68
Gpd2,548.77,598.08,502.98,460.18,567.04,504.66,458.78,482.67,466.72,551.08,512.92,517.95
Stard9,612.56,623.94,699.26,643.99,652.03,662.57,728.04,709.64,722.02,625.86,678.92,658.71
Egr3,420.72,409.78,414.85,390.3,404.1,431.8,663.57,684.64,705.3,380.04,322.99,329.88
Pcdha3,3.26,25.3,19.47,11.67,20.39,40.52,0,13.17,12.24,40.63,25.23,18.92
Mob3b,148.86,153.12,106.45,169.48,178.52,169.14,141.97,133.65,133.16,177.36,169.8,203.6
