gene_symbol,read_count_CGctx1,read_count_CGctx2,read_count_CGctx3,read_count_CGhp1,read_count_CGhp2,read_count_CGhp3,read_count_PGctx1,read_count_PGctx2,read_count_PGctx3,read_count_PGhp1,read_count_PGhp2,read_count_PGhp3
Camta2,588.1,675.17,780.79,661.4,697.34,663.77,703.56,698.93,697.07,690.83,737.96,739.03
Pspn,5,6,6,6,3,2,4,2,2,4,3,6
Arl13a,0,0,0,1,0,0,0,0,0,0,0,0
Golt1b,1470.39,1484.32,1279.55,1514.18,1494.12,1502.82,1401.39,1316.15,1309.42,1538.69,1397.17,1366.6
Cmtm3,848.03,884.4,890.09,898.98,856.9,875.94,795.66,755.07,784.05,1024.7,938.53,1013.99
Pate4,1.14,2.33,1.71,1,0,0,4.25,0,4,0,0,2
Npffr1,20.1,19.74,15.95,22.97,13.91,18.54,10.01,5.57,22.9,18.27,24.32,21.99
Aars,6470.86,6405.49,6922.12,6556.49,6778.11,6307.22,5846.67,5770.36,5781.92,6461.92,6991.5,6846.65
Cdh23,3,3,4.61,1,3.53,4,3.98,5,1,4,3,3
Rbak,418.33,486.21,476.96,414.22,402.69,383.6,470.63,420.79,469.24,419.61,442.87,444.93
Ube3a,4172.36,4353.01,3516.41,4297.2,4237.73,4436.11,4077.02,4135.74,4228.71,4028.15,3632.53,3688.31
Hpcal4,17.99,29,15.99,22.92,30.14,30,26.05,16,22,21,40.81,31
Kif2a,2716.18,2770.48,2407.21,2809.52,2698.7,2824.85,2506.95,2513.9,2557.27,2772.48,2348.72,2519.53
LOC115489129,25.24,6.4,10.61,14.49,30.2,13.96,16.96,8.22,19.59,20.63,13.64,30.63
Setd4,103.99,117,90.74,106.61,112.35,102,106.85,102,98,97.87,92.02,83
Unc45a,504.23,520.54,591.33,540.02,498.99,579.81,532.95,546.53,557.94,484.99,547.71,554.76
Prpf6,2228.36,2075.49,2208.83,2031.49,2020.86,2025.39,2203.93,2215.95,2121.62,2005.85,2172.17,2141.11
Tarm1,1,1,0,0,0,0,0,0,0,0,0,0
S1pr2,910.66,923.63,1043.34,1222.56,1198.36,1145.43,822.85,813.78,844.72,992.92,1119,1116.47
Mycbp2,2983.09,2966.96,3095.94,2908.84,2858.33,3131.07,3108.79,3121.62,3204.51,3095.11,3080.69,2915.82
Slc46a3,244.95,258.88,250.59,236.98,246.97,231.98,273.97,259.45,271.63,239.99,242.61,228.08
Cox5b,1595.98,1567.02,1995.28,1611.95,1490.82,1530.24,1597.33,1543.74,1520.85,1636.57,1625.93,1607.16
Ndufaf4,1141.39,1078.01,892.32,1201.75,1204.11,1148.84,985.4,999.61,1083.37,1144.67,999.71,1011.89
Trpc1,233.96,230.23,203.66,243.14,273.81,256.24,268.81,262.83,262.15,242.44,245.72,249.13
Olfr1316,0,0,0,0,0,0,0,0,0,0,1,1
Bdnf,4.99,3.92,4.26,35.9,29.98,33.14,1,0,0,18,10.99,16
Rab11a,4578.71,4700.6,4282.61,4631.02,4691.74,4721,4426.09,4633.88,4517.34,4677.55,4402.04,4710.61
Crabp1,2,1,2,3,1,2,2,1,2,1,4,2
Brat1,628.48,645,719.81,675.86,692.96,630.84,694.9,697,686.78,623.96,729.02,784.64
Asns,2168.21,2129.96,2197.56,2127.71,2201.92,2147.4,1974.64,1995.36,1906.62,2231.91,2302.51,2278.01
Kifc5b,684.09,728.28,864.32,844.44,721.8,742.17,600.29,674.74,673.69,702.69,806.6,731.94
Il5,0,0,0,0,1,0,0,0,0,0,0,0
Zfp384,1425.58,1418.24,1454.19,1464.1,1413.15,1390.97,1385.34,1418.15,1513.37,1378.3,1468.77,1515.31
Gja10,0,1,1,0,1,0,0,0,0,0,1,1
Gas2,445.06,453.86,406.3,447.57,451.43,451,472.97,468.92,507.63,473.53,415.1,474.33
Cep192,1975.35,2095.05,2045.8,2093.1,2122.69,2136.27,1932.58,2022.6,2050.86,2000.41,2064.82,2008.62
Zc3h10,296.77,329.26,375.91,298.96,299.99,298,329.97,310.11,334.98,312.94,323.54,330.68
Cpne5,8.59,7.74,10.59,6.95,0.05,5.07,4.9,10.32,10.19,9.34,5.39,10.66
Ltbp4,666.49,612.9,743.1,632.95,723.03,671.34,684.99,641.99,671.81,707.94,747.07,733.19
Nfatc2ip,728.27,775.68,783.9,727.46,791.72,774.54,668.27,711.55,701.7,773.91,756.37,786.82
Dll1,1346.57,1278.16,1518.23,1151.89,1135.99,1174.63,2083.39,2115.01,2092.5,1150.49,1238.21,1305.82
Rbfox3,31.75,36.19,34.78,22.81,26,20.01,15,14,20.78,16.71,17.51,21.79
Cycs,4697.22,4808.07,4329.72,4767.83,4733.21,4598.89,4197.27,4338.39,4249.13,4900.95,4433.38,4556.04
Drd4,0,3.3,1,2,1,1,1.95,0,0.35,3.96,0.89,0
Eif3d,4213.87,4046.3,4651.55,4180.97,4189.09,3930.1,3878.44,3902.73,3906.68,4125.64,4611.16,4284.31
Ppp1r27,0,0,0,0,1,1,0,0,0,0,0,0
LOC115489155,0,0,1.23,0,1.41,1.97,0,0,0,3.98,1.03,0
Smim12,308.89,279,311,278.99,264.94,276.03,285.98,309.96,313.98,301,318.48,300.99
Trappc3,1538.17,1527.85,1582.24,1560.92,1522.89,1536.18,1649.69,1556.36,1503.42,1522.56,1644.73,1590.33
C1qc,706.86,618.54,401.38,336.93,250.39,227,389.98,358.88,379,164,184,120
Copz2,28,52.02,35.99,23.19,35.96,46,41,34.99,39,38.45,35,32
Mef2b,4,12,6,4,6,0,8,6,9,6,8,9
Dsn1,922.15,922.01,826.35,892.57,977.15,879.88,838.78,826.8,867.52,951.9,931.91,916.96
